title,filename,tm,phi,uri,doi,edcs,edr,epicum,0,term_cert_0,term_key_0,term_ref_0,term_text_0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 0539,isic0539,491761,,http://sicily.classics.ox.ac.uk/inscription/isic0539,10.5281/zenodo.4337863,22000844,,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,"honorific;
                        building (?)",,,,
I.Sicily inscription 0719,isic0719,175775,,http://sicily.classics.ox.ac.uk/inscription/isic0719,10.5281/zenodo.4338923,6100278,,,,,unknown,https://www.eagle-network.eu/voc/typeins/lod/143.html,unknown,,,,
I.Sicily inscription 3513,isic3513,493843,313629,http://sicily.classics.ox.ac.uk/inscription/isic3513,10.5281/zenodo.4388698,38200004,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0797,isic0797,644899,175748,http://sicily.classics.ox.ac.uk/inscription/isic0797,10.5281/zenodo.4339130,41300107,140745,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0950,isic0950,492580,140431,http://sicily.classics.ox.ac.uk/inscription/isic0950,10.5281/zenodo.4340166,39102107,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
Epitaph for L. Roscius Rufus,isic0303,491513,,http://sicily.classics.ox.ac.uk/inscription/isic0303,10.5281/zenodo.4335077,21900338,139982,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
epitaph of Truphon,isic3405,644950,140557,http://sicily.classics.ox.ac.uk/inscription/isic3405,10.5281/zenodo.4358492,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
Funerary inscription for Athano,isic3374,645602,,http://sicily.classics.ox.ac.uk/inscription/isic3374,10.5281/zenodo.4358460,60800081,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3798,isic3798,,334199,http://sicily.classics.ox.ac.uk/inscription/isic3798,10.5281/zenodo.4381640,,,,,,,,,,,,
I.Sicily inscription 3225,isic3225,285114,,http://sicily.classics.ox.ac.uk/inscription/isic3225,10.5281/zenodo.4357308,9600754,121259,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
