 "concept" , "prefLabel" , "altLabel" , "related" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/210" , "Fels" , "Cliff" , "https://www.eagle-network.eu/voc/objtyp/lod/211" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/210" , "Fels" , "Pared rocosa" , "https://www.eagle-network.eu/voc/objtyp/lod/211" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/210" , "Fels" , "Rock inscription" , "https://www.eagle-network.eu/voc/objtyp/lod/211" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/210" , "Fels" , "rupes, titulus" , "https://www.eagle-network.eu/voc/objtyp/lod/211" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/210" , "Fels" , "sziklafelirat" , "https://www.eagle-network.eu/voc/objtyp/lod/211" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , "Felsen" , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , "parete rocciosa" , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , "paroi rocheuse" , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , "Roca natural" , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , "rock" , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , "rock face" , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , "rupes" , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , "szikla" , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/211" , "Roca" , λίθος , "https://www.eagle-network.eu/voc/objtyp/lod/210" ,
