concept,prefLabel,altLabel,related,X,EAGLE_lod_id
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift ," επιτοίχια επιγραφή, σε επιφάνεια δημοσίου ή ιδιωτικού
            κτηρίου ", https://www.eagle-network.eu/voc/typeins/lod/356 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift ," επιτοίχια επιγραφή, σε επιφάνεια δημοσίου ή ιδιωτικού
            κτηρίου ", https://www.eagle-network.eu/voc/typeins/lod/90 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift ," επιτοίχια επιγραφή, σε επιφάνεια δημοσίου ή ιδιωτικού
            κτηρίου ", https://www.eagle-network.eu/voc/typeins/lod/88 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , بناء النص , https://www.eagle-network.eu/voc/typeins/lod/356 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , بناء النص , https://www.eagle-network.eu/voc/typeins/lod/90 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , بناء النص , https://www.eagle-network.eu/voc/typeins/lod/88 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/90 , Obras publicas , titulus operis publici , https://www.eagle-network.eu/voc/typeins/lod/86 ,NA,90
 https://www.eagle-network.eu/voc/typeins/lod/90 , Obras publicas , Inschrift eines öffentlichen Gebäudes , https://www.eagle-network.eu/voc/typeins/lod/86 ,NA,90
 https://www.eagle-network.eu/voc/typeins/lod/88 , tit. dedicatorius , Dédicatoria de monumento , https://www.eagle-network.eu/voc/typeins/lod/86 ,NA,88
 https://www.eagle-network.eu/voc/typeins/lod/88 , tit. dedicatorius , Dédicatoria de monumento , https://www.eagle-network.eu/voc/typeins/lod/89 ,NA,88
 https://www.eagle-network.eu/voc/typeins/lod/88 , tit. dedicatorius , Dédicatoria de monumento , https://www.eagle-network.eu/voc/typeins/lod/83 ,NA,88
 https://www.eagle-network.eu/voc/typeins/lod/88 , tit. dedicatorius , Dedicatory , https://www.eagle-network.eu/voc/typeins/lod/86 ,NA,88
 https://www.eagle-network.eu/voc/typeins/lod/88 , tit. dedicatorius , Dedicatory , https://www.eagle-network.eu/voc/typeins/lod/89 ,NA,88
 https://www.eagle-network.eu/voc/typeins/lod/88 , tit. dedicatorius , Dedicatory , https://www.eagle-network.eu/voc/typeins/lod/83 ,NA,88
 https://www.eagle-network.eu/voc/typeins/lod/97 , Borne de cadastration , Mojón de cadastración , https://www.eagle-network.eu/voc/typeins/lod/96 ,NA,97
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , cippo di centuriazione , https://www.eagle-network.eu/voc/typeins/lod/97 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , cippo di centuriazione , https://www.eagle-network.eu/voc/typeins/lod/98 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , cippo di centuriazione , https://www.eagle-network.eu/voc/typeins/lod/99 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , cippo di centuriazione , https://www.eagle-network.eu/voc/typeins/lod/100 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , cippo di centuriazione , https://www.eagle-network.eu/voc/typeins/lod/101 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , cippo di centuriazione , https://www.eagle-network.eu/voc/typeins/lod/95 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , cippo di centuriazione , https://www.eagle-network.eu/voc/typeins/lod/102 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , boundary marker , https://www.eagle-network.eu/voc/typeins/lod/97 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , boundary marker , https://www.eagle-network.eu/voc/typeins/lod/98 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , boundary marker , https://www.eagle-network.eu/voc/typeins/lod/99 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , boundary marker , https://www.eagle-network.eu/voc/typeins/lod/100 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , boundary marker , https://www.eagle-network.eu/voc/typeins/lod/101 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , boundary marker , https://www.eagle-network.eu/voc/typeins/lod/95 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , boundary marker , https://www.eagle-network.eu/voc/typeins/lod/102 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , terminus , https://www.eagle-network.eu/voc/typeins/lod/97 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , terminus , https://www.eagle-network.eu/voc/typeins/lod/98 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , terminus , https://www.eagle-network.eu/voc/typeins/lod/99 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , terminus , https://www.eagle-network.eu/voc/typeins/lod/100 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , terminus , https://www.eagle-network.eu/voc/typeins/lod/101 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , terminus , https://www.eagle-network.eu/voc/typeins/lod/95 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , terminus , https://www.eagle-network.eu/voc/typeins/lod/102 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , borne , https://www.eagle-network.eu/voc/typeins/lod/97 ,NA,96
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. , borne , https://www.eagle-network.eu/voc/typeins/lod/98 ,NA,96
